192.168.1.10 - - [06/May/2026:21:00:01] "GET /login HTTP/1.1" 200
192.168.1.15 - - [06/May/2026:21:00:05] "POST /login HTTP/1.1" 401
192.168.1.15 - - [06/May/2026:21:00:06] "POST /login HTTP/1.1" 401
192.168.1.15 - - [06/May/2026:21:00:07] "POST /login HTTP/1.1" 401
192.168.1.22 - - [06/May/2026:21:00:09] "GET /admin HTTP/1.1" 403
192.168.1.99 - - [06/May/2026:21:00:12] "GET /index.php?id=' OR 1=1 -- HTTP/1.1" 200192.168.1.150 - - [07/May/2026:20:02:01] "GET /index.php?id=' OR 1=1 -- HTTP/1.1" 200
192.168.1.11 - - [07/May/2026:20:00:02] "GET /about HTTP/1.1" 200
192.168.1.99 - - [07/May/2026:20:01:01] "POST /login HTTP/1.1" 401
192.168.1.150 - - [07/May/2026:20:02:01] "GET /index.php?id=' OR 1=1 -- HTTP/1.1" 200
192.168.1.150 - - [07/May/2026:20:02:01] "GET /index.php?id=' OR 1=1 -- HTTP/1.1" 200
192.168.1.11 - - [07/May/2026:20:00:02] "GET /about HTTP/1.1" 200
192.168.1.150 - - [07/May/2026:20:02:01] "GET /index.php?id=' OR 1=1 -- HTTP/1.1" 200
192.168.1.99 - - [07/May/2026:20:01:02] "POST /login HTTP/1.1" 401
192.168.1.99 - - [07/May/2026:20:01:02] "POST /login HTTP/1.1" 401
192.168.1.10 - - [07/May/2026:20:00:01] "GET /home HTTP/1.1" 200
192.168.1.99 - - [07/May/2026:20:01:01] "POST /login HTTP/1.1" 401
192.168.1.11 - - [07/May/2026:20:00:02] "GET /about HTTP/1.1" 200
192.168.1.150 - - [07/May/2026:20:02:01] "GET /index.php?id=' OR 1=1 -- HTTP/1.1" 200
192.168.1.10 - - [07/May/2026:20:00:01] "GET /home HTTP/1.1" 200
192.168.1.99 - - [07/May/2026:20:01:03] "POST /login HTTP/1.1" 401
192.168.1.99 - - [07/May/2026:20:01:01] "POST /login HTTP/1.1" 401
192.168.1.11 - - [07/May/2026:20:00:02] "GET /about HTTP/1.1" 200
192.168.1.12 - - [07/May/2026:20:00:03] "POST /login HTTP/1.1" 200
192.168.1.99 - - [07/May/2026:20:01:03] "POST /login HTTP/1.1" 401
192.168.1.11 - - [07/May/2026:20:00:02] "GET /about HTTP/1.1" 200
192.168.1.150 - - [07/May/2026:20:02:01] "GET /index.php?id=' OR 1=1 -- HTTP/1.1" 200
192.168.1.150 - - [07/May/2026:20:02:01] "GET /index.php?id=' OR 1=1 -- HTTP/1.1" 200
192.168.1.11 - - [07/May/2026:20:00:02] "GET /about HTTP/1.1" 200
192.168.1.150 - - [07/May/2026:20:02:01] "GET /index.php?id=' OR 1=1 -- HTTP/1.1" 200
192.168.1.12 - - [07/May/2026:20:00:03] "POST /login HTTP/1.1" 200
192.168.1.99 - - [07/May/2026:20:01:01] "POST /login HTTP/1.1" 401
192.168.1.99 - - [07/May/2026:20:01:02] "POST /login HTTP/1.1" 401
192.168.1.12 - - [07/May/2026:20:00:03] "POST /login HTTP/1.1" 200
192.168.1.12 - - [07/May/2026:20:00:03] "POST /login HTTP/1.1" 200
192.168.1.11 - - [07/May/2026:20:00:02] "GET /about HTTP/1.1" 200
192.168.1.10 - - [07/May/2026:20:00:01] "GET /home HTTP/1.1" 200
192.168.1.150 - - [07/May/2026:20:02:01] "GET /index.php?id=' OR 1=1 -- HTTP/1.1" 200
192.168.1.99 - - [07/May/2026:20:01:02] "POST /login HTTP/1.1" 401
192.168.1.10 - - [07/May/2026:20:00:01] "GET /home HTTP/1.1" 200
192.168.1.99 - - [07/May/2026:20:01:01] "POST /login HTTP/1.1" 401
192.168.1.150 - - [07/May/2026:20:02:01] "GET /index.php?id=' OR 1=1 -- HTTP/1.1" 200
192.168.1.99 - - [07/May/2026:20:01:03] "POST /login HTTP/1.1" 401
192.168.1.11 - - [07/May/2026:20:00:02] "GET /about HTTP/1.1" 200
192.168.1.99 - - [07/May/2026:20:01:03] "POST /login HTTP/1.1" 401
192.168.1.150 - - [07/May/2026:20:02:01] "GET /index.php?id=' OR 1=1 -- HTTP/1.1" 200
192.168.1.10 - - [07/May/2026:20:00:01] "GET /home HTTP/1.1" 200
192.168.1.99 - - [07/May/2026:20:01:03] "POST /login HTTP/1.1" 401
192.168.1.99 - - [07/May/2026:20:01:03] "POST /login HTTP/1.1" 401
192.168.1.11 - - [07/May/2026:20:00:02] "GET /about HTTP/1.1" 200
